year,all_races,white,white_not_hispanic,black,american_indian_and_alaska_native,asian,native_hawaiian_and_other_pacific_islander,hispanic_(any_race)
2019,9.1999999999999993,8.3000000000000007,6.3,10.1,19.100000000000001,6.6,12.3,18.7
2018,8.9,8,6,10.1,19.100000000000001,6.3,10.6,17.899999999999999
2017,8.6999999999999993,7.8,5.9,10,19.3,6.6,10.5,17.8
2016,8.6,7.7,5.7,9.6999999999999993,19.2,6.8,9.9,18
2015,9.4,8.4,6.3,11,20.7,7.8,9.9,19.5
2014,11.7,10.4,8.1,13.6,23.1,10.6,13.5,23.5
2013,14.5,12.9,10.199999999999999,17.100000000000001,26.9,14.6,17.899999999999999,28.4
2012,14.8,13.1,10.4,17.3,27.4,15,18,29
2011,15.1,13.4,10.7,17.7,27.6,15.4,18.5,29.8
2010,15.5,13.7,10.9,18.2,29.2,15.7,17.399999999999999,30.9
2009,15.1,13.3,10.7,18.100000000000001,29.2,14.8,17.3,31
2008,14.6,12.8,10.199999999999999,17.100000000000001,29.8,14.2,15.8,30.8
