,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
United States,90.8,91.09999999999999,91.3,91.40000000000001,90.59999999999999,88.3,85.5,85.2,84.90000000000001,84.5,84.90000000000001,85.40000000000001
Alabama,90.3,90,90.59999999999999,90.90000000000001,89.90000000000001,87.90000000000001,86.40000000000001,86.7,85.7,85.40000000000001,86.2,86.7
Alaska,87.8,87.40000000000001,86.3,86,85.09999999999999,82.8,81.5,79.5,79.90000000000001,80.09999999999999,78.90000000000001,80.90000000000001
Arizona,88.7,89.40000000000001,89.90000000000001,90,89.2,86.40000000000001,82.90000000000001,82.40000000000001,82.8,83.09999999999999,82.7,82
Arkansas,90.90000000000001,91.8,92.09999999999999,92.09999999999999,90.5,88.2,84,83.59999999999999,82.90000000000001,82.5,83,82.90000000000001
California,92.3,92.8,92.8,92.7,91.40000000000001,87.59999999999999,82.8,82.09999999999999,81.90000000000001,81.5,82,82.7
Colorado,92,92.5,92.5,92.5,91.90000000000001,89.7,85.90000000000001,85.3,84.90000000000001,84.09999999999999,84.2,83.3
Connecticut,94.09999999999999,94.7,94.5,95.09999999999999,94,93.09999999999999,90.59999999999999,90.90000000000001,91.2,90.90000000000001,91.2,91.2
Delaware,93.40000000000001,94.3,94.59999999999999,94.3,94.09999999999999,92.2,90.90000000000001,91.2,90.59999999999999,90.3,89.8,90
District of Columbia,96.5,96.8,96.2,96.09999999999999,96.2,94.7,93.3,94.09999999999999,93.09999999999999,92.40000000000001,93,92.40000000000001
Florida,86.8,87,87.09999999999999,87.5,86.7,83.40000000000001,80,79.90000000000001,79.09999999999999,78.7,79.09999999999999,79.8
Georgia,86.59999999999999,86.3,86.59999999999999,87.09999999999999,86.09999999999999,84.2,81.2,81.59999999999999,80.40000000000001,80.3,80.90000000000001,81.8
Hawaii,95.8,95.90000000000001,96.2,96.5,96,94.7,93.3,93.09999999999999,92.90000000000001,92.09999999999999,93,93.5
Idaho,89.2,88.90000000000001,89.90000000000001,89.90000000000001,89,86.40000000000001,83.8,83.8,83.5,82.3,82.59999999999999,82.8
Illinois,92.59999999999999,93,93.2,93.5,92.90000000000001,90.3,87.3,87.2,86.90000000000001,86.2,86.7,87.59999999999999
Indiana,91.3,91.7,91.8,91.90000000000001,90.40000000000001,88.09999999999999,86,85.7,85.5,85.2,85.7,86.59999999999999
Iowa,95,95.3,95.3,95.7,95,93.8,91.90000000000001,91.59999999999999,91.09999999999999,90.7,91.40000000000001,91.3
Kansas,90.8,91.2,91.3,91.3,90.90000000000001,89.8,87.7,87.40000000000001,87.40000000000001,86.09999999999999,86.8,88.59999999999999
Kentucky,93.59999999999999,94.40000000000001,94.59999999999999,94.90000000000001,94,91.5,85.7,86.09999999999999,85.59999999999999,84.7,85.5,86.8
Louisiana,91.09999999999999,92,91.59999999999999,89.7,88.09999999999999,85.2,83.40000000000001,83.09999999999999,82.5,82.2,82.59999999999999,83
Maine,92,92,91.90000000000001,92,91.59999999999999,89.90000000000001,88.8,89.8,89.3,89.90000000000001,89.5,89.59999999999999
Maryland,94,94,93.90000000000001,93.90000000000001,93.40000000000001,92.09999999999999,89.8,89.7,89.59999999999999,88.7,88.90000000000001,89.2
Massachusetts,97,97.2,97.2,97.5,97.2,96.7,96.3,96.09999999999999,95.7,95.59999999999999,95.8,96.09999999999999
Michigan,94.2,94.59999999999999,94.8,94.59999999999999,93.90000000000001,91.5,89,88.59999999999999,88.2,87.59999999999999,87.8,89
Minnesota,95.09999999999999,95.59999999999999,95.59999999999999,95.90000000000001,95.5,94.09999999999999,91.8,92,91.2,90.90000000000001,90.90000000000001,91.59999999999999
Mississippi,87,87.90000000000001,88,88.2,87.3,85.5,82.90000000000001,83,82.3,81.8,82.09999999999999,83
Missouri,90,90.59999999999999,90.90000000000001,91.09999999999999,90.2,88.3,87,86.40000000000001,86.3,86.8,86.8,87.59999999999999
Montana,91.7,91.8,91.5,91.90000000000001,88.40000000000001,85.8,83.5,82,81.7,82.7,81.8,82.5
Nebraska,91.7,91.7,91.7,91.40000000000001,91.8,90.3,88.7,88.7,88.59999999999999,88.5,88.09999999999999,89.2
Nevada,88.59999999999999,88.8,88.8,88.59999999999999,87.7,84.8,79.3,77.8,78.09999999999999,77.40000000000001,78.09999999999999,79.3
New Hampshire,93.7,94.3,94.2,94.09999999999999,93.7,90.8,89.3,89.40000000000001,89.5,88.90000000000001,89.8,89.5
New Jersey,92.09999999999999,92.59999999999999,92.3,92,91.3,89.09999999999999,86.8,87.3,86.90000000000001,86.8,87.40000000000001,88
New Mexico,90,90.5,90.90000000000001,90.8,89.09999999999999,85.5,81.40000000000001,81.59999999999999,80.2,80.40000000000001,80.3,79.3
New York,94.8,94.59999999999999,94.3,93.90000000000001,92.90000000000001,91.3,89.3,89.09999999999999,88.59999999999999,88.09999999999999,88.59999999999999,88.59999999999999
North Carolina,88.7,89.3,89.3,89.59999999999999,88.8,86.90000000000001,84.40000000000001,83.40000000000001,83.7,83.2,83.90000000000001,84.5
North Dakota,93.09999999999999,92.7,92.5,93,92.2,92.09999999999999,89.59999999999999,90,90.2,90.2,90.3,90
Ohio,93.40000000000001,93.5,94,94.40000000000001,93.5,91.59999999999999,89,88.5,88.09999999999999,87.7,87.8,88.7
Oklahoma,85.7,85.8,85.8,86.2,86.09999999999999,84.59999999999999,82.3,81.59999999999999,81.3,81.09999999999999,81.3,81.3
Oregon,92.8,92.90000000000001,93.2,93.8,93,90.3,85.3,85.09999999999999,84.3,82.90000000000001,83,84.2
Pennsylvania,94.2,94.5,94.5,94.40000000000001,93.59999999999999,91.5,90.3,90.2,89.90000000000001,89.8,90.09999999999999,91
Rhode Island,95.90000000000001,95.90000000000001,95.40000000000001,95.7,94.3,92.59999999999999,88.40000000000001,88.90000000000001,89.2,87.8,88.7,89.8
South Carolina,89.2,89.5,89,90,89.09999999999999,86.40000000000001,84.2,83.2,83.3,82.5,83.2,83.3
South Dakota,89.8,90.2,90.90000000000001,91.3,89.8,90.2,88.7,88.5,88.09999999999999,87.59999999999999,86.90000000000001,88.90000000000001
Tennessee,89.90000000000001,89.90000000000001,90.5,91,89.7,88,86.09999999999999,86.09999999999999,85.40000000000001,85.59999999999999,85.7,87.09999999999999
Texas,81.59999999999999,82.3,82.7,83.40000000000001,82.90000000000001,80.90000000000001,77.90000000000001,77.5,77,76.3,76.2,76.59999999999999
Utah,90.3,90.59999999999999,90.8,91.2,89.5,87.5,86,85.5,84.7,84.7,85.40000000000001,85
Vermont,95.5,96,95.40000000000001,96.3,96.2,95,92.8,93.5,93.40000000000001,92,91.40000000000001,91.2
Virginia,92.09999999999999,91.2,91.2,91.3,90.90000000000001,89.09999999999999,87.7,87.5,87.5,86.90000000000001,88.09999999999999,88.40000000000001
Washington,93.40000000000001,93.59999999999999,93.90000000000001,94,93.40000000000001,90.8,86,86.09999999999999,85.8,85.8,86.59999999999999,87.5
West Virginia,93.3,93.59999999999999,93.90000000000001,94.7,94,91.40000000000001,86,85.59999999999999,85.09999999999999,85.40000000000001,85.8,85.2
Wisconsin,94.3,94.5,94.59999999999999,94.7,94.3,92.7,90.90000000000001,91,91,90.59999999999999,90.59999999999999,91.2
Wyoming,87.7,89.5,87.7,88.5,88.5,88,86.59999999999999,84.59999999999999,84.59999999999999,85.09999999999999,84.8,86.3
